feature,mean_abs_shap
risk_score_mean_8w,1.3260340690612793
business_exposure,1.2994486093521118
weeks_since_last_event,1.0911407470703125
event_count_lifetime,1.0098423957824707
event_count_acceleration_4w,0.9918773174285889
risk_score_slope_4w,0.8281764984130859
severity_sum_8w,0.3398379385471344
project_stage_code,0.3062973618507385
category_performance_4w,0.23124118149280548
risk_score,0.21177922189235687
severity_sum_lifetime,0.15017971396446228
risk_score_mean_4w,0.07632195949554443
event_count_4w,0.06872887909412384
event_count_8w,0.0353720560669899
system_level_score,0.020530270412564278
contract_importance_score,0.015130485408008099
severity_sum_4w,0.014329410158097744
severity_max_4w,0.0025865568313747644
event_count_1w,0.0
severity_max_1w,0.0
high_severity_count_4w,0.0
risk_score_delta_1w,0.0
category_count_4w,0.0
cross_category_count_4w,0.0
has_rectify,0.0
rectify_weeks_elapsed,0.0
rectify_weeks_remaining,0.0
category_personnel_4w,0.0
category_security_4w,0.0
category_operation_4w,0.0
category_compliance_4w,0.0
category_sentiment_4w,0.0
