feature,mean_abs_shap
overdue_days,1.4010460376739502
risk_score_mean_8w,1.223719835281372
event_count_lifetime,1.158336877822876
sla_compliance_rate,0.7667574882507324
business_exposure,0.730864405632019
risk_score_slope_4w,0.7197666764259338
project_stage_code,0.5508456826210022
system_availability_rate,0.46695074439048767
critical_staff_turnover_rate,0.37966230511665344
complaint_count,0.32560279965400696
event_count_acceleration_4w,0.3208779990673065
risk_score_mean_4w,0.3142332136631012
category_performance_4w,0.24976295232772827
event_count_4w,0.20081864297389984
weeks_since_last_event,0.19873647391796112
severity_sum_8w,0.17990642786026
unresolved_ticket_count,0.17134572565555573
risk_score,0.05005855858325958
severity_sum_lifetime,0.04236660897731781
system_level_score,0.02359839901328087
severity_sum_4w,0.02057058922946453
severity_max_4w,0.005869945045560598
category_security_4w,0.005240732338279486
negative_sentiment_count,0.0023219026625156403
category_operation_4w,0.0019742115400731564
category_personnel_4w,0.0011806745314970613
event_count_8w,0.0011101614218205214
event_count_1w,0.0
severity_max_1w,0.0
high_severity_count_4w,0.0
risk_score_delta_1w,0.0
category_count_4w,0.0
cross_category_count_4w,0.0
has_rectify,0.0
rectify_weeks_elapsed,0.0
rectify_weeks_remaining,0.0
contract_importance_score,0.0
category_compliance_4w,0.0
category_sentiment_4w,0.0
leading_indicators_available,0.0
