contract_id,supplier_id,name,start_week,end_week,contract_importance
CT‑S‑NOR001,S‑NOR001,NOR服务商001外包服务合同,1,52,一般外包
CT‑S‑NOR002,S‑NOR002,NOR服务商002外包服务合同,1,52,重要外包
CT‑S‑NOR003,S‑NOR003,NOR服务商003外包服务合同,1,52,重要外包
CT‑S‑NOR004,S‑NOR004,NOR服务商004外包服务合同,1,52,重要外包
CT‑S‑NOR005,S‑NOR005,NOR服务商005外包服务合同,1,52,重要外包
CT‑S‑NOR006,S‑NOR006,NOR服务商006外包服务合同,1,52,一般外包
CT‑S‑NOR007,S‑NOR007,NOR服务商007外包服务合同,1,52,重要外包
CT‑S‑NOR008,S‑NOR008,NOR服务商008外包服务合同,1,52,一般外包
CT‑S‑NOR009,S‑NOR009,NOR服务商009外包服务合同,1,52,重要外包
CT‑S‑NOR010,S‑NOR010,NOR服务商010外包服务合同,1,52,重要外包
CT‑S‑NOR011,S‑NOR011,NOR服务商011外包服务合同,1,52,一般外包
CT‑S‑NOR012,S‑NOR012,NOR服务商012外包服务合同,1,52,重要外包
CT‑S‑NOR013,S‑NOR013,NOR服务商013外包服务合同,1,52,重要外包
CT‑S‑NOR014,S‑NOR014,NOR服务商014外包服务合同,1,52,一般外包
CT‑S‑NOR015,S‑NOR015,NOR服务商015外包服务合同,1,52,重要外包
CT‑S‑NOR016,S‑NOR016,NOR服务商016外包服务合同,1,52,一般外包
CT‑S‑NOR017,S‑NOR017,NOR服务商017外包服务合同,1,52,重要外包
CT‑S‑NOR018,S‑NOR018,NOR服务商018外包服务合同,1,52,重要外包
CT‑S‑NOR019,S‑NOR019,NOR服务商019外包服务合同,1,52,一般外包
CT‑S‑NOR020,S‑NOR020,NOR服务商020外包服务合同,1,52,重要外包
CT‑S‑NOR021,S‑NOR021,NOR服务商021外包服务合同,1,52,重要外包
CT‑S‑NOR022,S‑NOR022,NOR服务商022外包服务合同,1,52,重要外包
CT‑S‑NOR023,S‑NOR023,NOR服务商023外包服务合同,1,52,重要外包
CT‑S‑NOR024,S‑NOR024,NOR服务商024外包服务合同,1,52,重要外包
CT‑S‑NOR025,S‑NOR025,NOR服务商025外包服务合同,1,52,重要外包
CT‑S‑NOR026,S‑NOR026,NOR服务商026外包服务合同,1,52,一般外包
CT‑S‑NOR027,S‑NOR027,NOR服务商027外包服务合同,1,52,一般外包
CT‑S‑NOR028,S‑NOR028,NOR服务商028外包服务合同,1,52,一般外包
CT‑S‑NOR029,S‑NOR029,NOR服务商029外包服务合同,1,52,一般外包
CT‑S‑NOR030,S‑NOR030,NOR服务商030外包服务合同,1,52,一般外包
CT‑S‑NOR031,S‑NOR031,NOR服务商031外包服务合同,1,52,一般外包
CT‑S‑NOR032,S‑NOR032,NOR服务商032外包服务合同,1,52,重要外包
CT‑S‑NOR033,S‑NOR033,NOR服务商033外包服务合同,1,52,一般外包
CT‑S‑NOR034,S‑NOR034,NOR服务商034外包服务合同,1,52,重要外包
CT‑S‑NOR035,S‑NOR035,NOR服务商035外包服务合同,1,52,重要外包
CT‑S‑NOR036,S‑NOR036,NOR服务商036外包服务合同,1,52,一般外包
CT‑S‑NOR037,S‑NOR037,NOR服务商037外包服务合同,1,52,重要外包
CT‑S‑NOR038,S‑NOR038,NOR服务商038外包服务合同,1,52,一般外包
CT‑S‑NOR039,S‑NOR039,NOR服务商039外包服务合同,1,52,重要外包
