supplier_id,week,sla_compliance_rate,overdue_days,critical_staff_turnover_rate,unresolved_ticket_count,system_availability_rate,complaint_count,negative_sentiment_count,is_simulated,simulation_version
S‑NOR001,1,0.9844,0,0.0423,1,0.9975,0,0,True,LEADING-SIM-V0.1
S‑NOR001,2,0.9864,0,0.0294,0,0.9962,0,0,True,LEADING-SIM-V0.1
S‑NOR001,3,0.9879,0,0.0037,0,0.9964,0,0,True,LEADING-SIM-V0.1
S‑NOR001,4,0.9787,0,0.0521,1,0.9982,0,0,True,LEADING-SIM-V0.1
S‑NOR001,5,0.9838,0,0.0075,0,0.9974,0,0,True,LEADING-SIM-V0.1
S‑NOR001,6,0.9835,0,0.0067,0,0.9974,0,0,True,LEADING-SIM-V0.1
S‑NOR001,7,0.9816,0,0.039,0,0.9952,0,0,True,LEADING-SIM-V0.1
S‑NOR001,8,0.9861,0,0.014,0,0.9977,0,0,True,LEADING-SIM-V0.1
S‑NOR001,9,0.9842,0,0.035,0,0.9948,0,0,True,LEADING-SIM-V0.1
S‑NOR001,10,0.9882,0,0.0222,1,0.9975,0,0,True,LEADING-SIM-V0.1
S‑NOR001,11,0.9917,0,0.013,0,0.9956,0,0,True,LEADING-SIM-V0.1
S‑NOR001,12,0.9846,1,0.0324,0,0.9973,0,0,True,LEADING-SIM-V0.1
S‑NOR001,13,0.9804,0,0.0361,0,0.9972,0,0,True,LEADING-SIM-V0.1
S‑NOR001,14,0.9864,0,0.0256,0,0.998,0,0,True,LEADING-SIM-V0.1
S‑NOR001,15,0.9831,0,0.0021,0,0.9946,0,0,True,LEADING-SIM-V0.1
S‑NOR001,16,0.9828,0,0.0054,0,0.9978,0,0,True,LEADING-SIM-V0.1
S‑NOR001,17,0.9897,0,0.0159,0,0.9973,0,0,True,LEADING-SIM-V0.1
S‑NOR001,18,0.986,0,0.0542,0,0.997,0,0,True,LEADING-SIM-V0.1
S‑NOR001,19,0.9849,0,0.0008,0,0.9963,0,0,True,LEADING-SIM-V0.1
S‑NOR001,20,0.9774,0,0.0334,0,0.996,0,0,True,LEADING-SIM-V0.1
S‑NOR001,21,0.9977,0,0.0078,0,0.9967,0,0,True,LEADING-SIM-V0.1
S‑NOR001,22,0.9855,0,0.0646,0,0.9993,0,0,True,LEADING-SIM-V0.1
S‑NOR001,23,0.9803,1,0.0082,0,0.9974,0,0,True,LEADING-SIM-V0.1
S‑NOR001,24,0.9822,0,0.0982,2,0.9966,0,0,True,LEADING-SIM-V0.1
S‑NOR001,25,0.9819,0,0.0232,0,0.9969,0,0,True,LEADING-SIM-V0.1
S‑NOR001,26,0.9889,0,0.038,0,0.9972,0,0,True,LEADING-SIM-V0.1
S‑NOR001,27,0.9833,0,0.0123,0,0.9975,1,0,True,LEADING-SIM-V0.1
S‑NOR001,28,0.9816,0,0.093,0,0.9965,0,0,True,LEADING-SIM-V0.1
S‑NOR001,29,0.9753,0,0.0768,1,0.9963,0,0,True,LEADING-SIM-V0.1
S‑NOR001,30,0.9772,0,0.0356,2,0.9937,1,0,True,LEADING-SIM-V0.1
S‑NOR001,31,0.9861,0,0.0075,0,0.9961,0,0,True,LEADING-SIM-V0.1
S‑NOR001,32,0.9827,0,0.0223,0,1.0,0,0,True,LEADING-SIM-V0.1
S‑NOR001,33,0.9992,0,0.0163,2,0.994,0,0,True,LEADING-SIM-V0.1
S‑NOR001,34,0.9853,0,0.0523,0,0.9967,0,0,True,LEADING-SIM-V0.1
S‑NOR001,35,0.984,0,0.0428,0,0.997,0,0,True,LEADING-SIM-V0.1
S‑NOR001,36,0.9923,0,0.0717,0,0.9981,0,0,True,LEADING-SIM-V0.1
S‑NOR001,37,0.9939,0,0.0251,1,0.9969,0,0,True,LEADING-SIM-V0.1
S‑NOR001,38,0.9902,0,0.0406,0,0.9985,0,0,True,LEADING-SIM-V0.1
S‑NOR001,39,0.9842,0,0.0517,0,0.9963,0,0,True,LEADING-SIM-V0.1
S‑NOR001,40,0.9666,0,0.0275,0,0.9982,0,0,True,LEADING-SIM-V0.1
S‑NOR001,41,0.9917,1,0.0528,0,0.996,0,0,True,LEADING-SIM-V0.1
S‑NOR001,42,0.9909,1,0.0002,0,0.9949,0,0,True,LEADING-SIM-V0.1
S‑NOR001,43,0.9801,2,0.0163,0,0.9964,0,0,True,LEADING-SIM-V0.1
S‑NOR001,44,0.9837,0,0.029,2,0.9972,0,0,True,LEADING-SIM-V0.1
S‑NOR001,45,0.9873,0,0.105,1,0.9945,0,0,True,LEADING-SIM-V0.1
S‑NOR001,46,0.986,0,0.0097,0,0.9956,1,0,True,LEADING-SIM-V0.1
S‑NOR001,47,0.9908,0,0.0117,0,0.9975,0,0,True,LEADING-SIM-V0.1
S‑NOR001,48,0.9722,0,0.0191,0,0.9958,0,0,True,LEADING-SIM-V0.1
S‑NOR001,49,0.9833,0,0.0133,0,0.9959,0,0,True,LEADING-SIM-V0.1
S‑NOR001,50,0.9901,0,0.0254,0,0.9936,0,0,True,LEADING-SIM-V0.1
S‑NOR001,51,0.9864,0,0.0228,0,0.9953,0,0,True,LEADING-SIM-V0.1
S‑NOR001,52,0.9787,0,0.0065,0,0.9958,0,0,True,LEADING-SIM-V0.1
S‑NOR002,1,0.9834,0,0.0144,0,0.9956,0,0,True,LEADING-SIM-V0.1
S‑NOR002,2,0.9826,0,0.0477,0,0.9962,0,0,True,LEADING-SIM-V0.1
S‑NOR002,3,0.9855,1,0.0042,0,0.9988,0,0,True,LEADING-SIM-V0.1
S‑NOR002,4,0.9828,0,0.0484,1,0.995,0,0,True,LEADING-SIM-V0.1
S‑NOR002,5,0.9772,0,0.0839,0,0.9996,0,0,True,LEADING-SIM-V0.1
S‑NOR002,6,0.9798,0,0.0818,1,0.9996,0,0,True,LEADING-SIM-V0.1
S‑NOR002,7,0.9846,0,0.0166,1,0.998,0,0,True,LEADING-SIM-V0.1
S‑NOR002,8,0.9942,1,0.0084,1,0.9965,0,0,True,LEADING-SIM-V0.1
S‑NOR002,9,0.9943,1,0.0043,0,0.9967,0,0,True,LEADING-SIM-V0.1
S‑NOR002,10,0.9881,0,0.0158,1,0.9931,0,0,True,LEADING-SIM-V0.1
S‑NOR002,11,0.9808,0,0.0036,0,0.9962,0,0,True,LEADING-SIM-V0.1
S‑NOR002,12,0.9841,0,0.0382,0,0.9985,0,0,True,LEADING-SIM-V0.1
S‑NOR002,13,0.99,1,0.0473,0,0.9977,0,0,True,LEADING-SIM-V0.1
S‑NOR002,14,0.9868,1,0.0297,0,0.9975,0,0,True,LEADING-SIM-V0.1
S‑NOR002,15,0.9889,0,0.0727,0,0.9981,0,0,True,LEADING-SIM-V0.1
S‑NOR002,16,0.9891,0,0.0268,0,0.9987,0,0,True,LEADING-SIM-V0.1
S‑NOR002,17,0.9986,0,0.0493,0,0.9953,0,0,True,LEADING-SIM-V0.1
S‑NOR002,18,0.9765,0,0.0169,0,0.9977,0,0,True,LEADING-SIM-V0.1
S‑NOR002,19,0.9933,0,0.068,0,0.9967,0,0,True,LEADING-SIM-V0.1
S‑NOR002,20,0.9823,0,0.0094,1,0.9988,1,0,True,LEADING-SIM-V0.1
S‑NOR002,21,0.9875,0,0.0162,0,0.9975,0,0,True,LEADING-SIM-V0.1
S‑NOR002,22,0.9951,0,0.057,0,0.9992,0,0,True,LEADING-SIM-V0.1
S‑NOR002,23,0.9844,0,0.042,1,0.997,0,0,True,LEADING-SIM-V0.1
S‑NOR002,24,0.9835,0,0.0145,0,0.9985,0,0,True,LEADING-SIM-V0.1
S‑NOR002,25,0.9852,0,0.0145,0,0.9968,0,0,True,LEADING-SIM-V0.1
S‑NOR002,26,0.9876,1,0.1095,0,0.9987,0,0,True,LEADING-SIM-V0.1
S‑NOR002,27,0.9788,0,0.0516,0,0.9963,0,0,True,LEADING-SIM-V0.1
S‑NOR002,28,0.9786,0,0.0372,2,0.9955,0,0,True,LEADING-SIM-V0.1
S‑NOR002,29,0.987,0,0.0337,0,0.9957,0,0,True,LEADING-SIM-V0.1
S‑NOR002,30,0.9833,0,0.1009,1,0.9968,0,0,True,LEADING-SIM-V0.1
S‑NOR002,31,0.9825,0,0.0305,1,0.9976,0,0,True,LEADING-SIM-V0.1
S‑NOR002,32,0.9847,1,0.0689,1,0.9978,0,0,True,LEADING-SIM-V0.1
S‑NOR002,33,0.9924,0,0.0753,0,0.9944,0,0,True,LEADING-SIM-V0.1
S‑NOR002,34,0.9857,0,0.0635,0,0.9958,0,0,True,LEADING-SIM-V0.1
S‑NOR002,35,0.9815,0,0.0014,0,0.9992,0,0,True,LEADING-SIM-V0.1
S‑NOR002,36,0.9855,0,0.0188,0,0.9999,0,0,True,LEADING-SIM-V0.1
S‑NOR002,37,0.9769,0,0.0204,0,0.9968,0,0,True,LEADING-SIM-V0.1
