supplier_id,name
S‑NOR001,NOR服务商001
S‑NOR002,NOR服务商002
S‑NOR003,NOR服务商003
S‑NOR004,NOR服务商004
S‑NOR005,NOR服务商005
S‑NOR006,NOR服务商006
S‑NOR007,NOR服务商007
S‑NOR008,NOR服务商008
S‑NOR009,NOR服务商009
S‑NOR010,NOR服务商010
S‑NOR011,NOR服务商011
S‑NOR012,NOR服务商012
S‑NOR013,NOR服务商013
S‑NOR014,NOR服务商014
S‑NOR015,NOR服务商015
S‑NOR016,NOR服务商016
S‑NOR017,NOR服务商017
S‑NOR018,NOR服务商018
S‑NOR019,NOR服务商019
S‑NOR020,NOR服务商020
S‑NOR021,NOR服务商021
S‑NOR022,NOR服务商022
S‑NOR023,NOR服务商023
S‑NOR024,NOR服务商024
S‑NOR025,NOR服务商025
S‑NOR026,NOR服务商026
S‑NOR027,NOR服务商027
S‑NOR028,NOR服务商028
S‑NOR029,NOR服务商029
S‑NOR030,NOR服务商030
S‑NOR031,NOR服务商031
S‑NOR032,NOR服务商032
S‑NOR033,NOR服务商033
S‑NOR034,NOR服务商034
S‑NOR035,NOR服务商035
S‑NOR036,NOR服务商036
S‑NOR037,NOR服务商037
S‑NOR038,NOR服务商038
S‑NOR039,NOR服务商039
S‑NOR040,NOR服务商040
S‑NOR041,NOR服务商041
S‑NOR042,NOR服务商042
S‑NOR043,NOR服务商043
S‑NOR044,NOR服务商044
S‑NOR045,NOR服务商045
S‑NOR046,NOR服务商046
S‑NOR047,NOR服务商047
S‑NOR048,NOR服务商048
S‑NOR049,NOR服务商049
S‑NOR050,NOR服务商050
S‑NOR051,NOR服务商051
S‑NOR052,NOR服务商052
S‑NOR053,NOR服务商053
S‑NOR054,NOR服务商054
S‑NOR055,NOR服务商055
S‑NOR056,NOR服务商056
S‑NOR057,NOR服务商057
S‑NOR058,NOR服务商058
S‑NOR059,NOR服务商059
S‑NOR060,NOR服务商060
S‑NOR061,NOR服务商061
S‑NOR062,NOR服务商062
S‑NOR063,NOR服务商063
S‑NOR064,NOR服务商064
S‑NOR065,NOR服务商065
S‑NOR066,NOR服务商066
S‑NOR067,NOR服务商067
S‑NOR068,NOR服务商068
S‑NOR069,NOR服务商069
S‑NOR070,NOR服务商070
S‑NOR071,NOR服务商071
S‑NOR072,NOR服务商072
S‑NOR073,NOR服务商073
S‑NOR074,NOR服务商074
S‑NOR075,NOR服务商075
S‑NOR076,NOR服务商076
S‑NOR077,NOR服务商077
S‑NOR078,NOR服务商078
S‑NOR079,NOR服务商079
S‑NOR080,NOR服务商080
S‑NOR081,NOR服务商081
S‑NOR082,NOR服务商082
S‑NOR083,NOR服务商083
S‑NOR084,NOR服务商084
S‑NOR085,NOR服务商085
S‑NOR086,NOR服务商086
S‑NOR087,NOR服务商087
S‑NOR088,NOR服务商088
S‑NOR089,NOR服务商089
S‑NOR090,NOR服务商090
S‑NOR091,NOR服务商091
S‑NOR092,NOR服务商092
S‑NOR093,NOR服务商093
S‑NOR094,NOR服务商094
S‑NOR095,NOR服务商095
S‑NOR096,NOR服务商096
S‑NOR097,NOR服务商097
S‑NOR098,NOR服务商098
S‑NOR099,NOR服务商099
S‑NOR100,NOR服务商100
S‑NOR101,NOR服务商101
S‑NOR102,NOR服务商102
S‑NOR103,NOR服务商103
S‑NOR104,NOR服务商104
S‑NOR105,NOR服务商105
S‑NOR106,NOR服务商106
S‑NOR107,NOR服务商107
S‑NOR108,NOR服务商108
S‑NOR109,NOR服务商109
S‑NOR110,NOR服务商110
S‑ACC111,ACC服务商111
S‑ACC112,ACC服务商112
S‑ACC113,ACC服务商113
S‑ACC114,ACC服务商114
